model,f1_score,precision,recall,roc_auc
Logistic Regression,0.18009478672985782,0.12315345191438046,0.33497334973349735,0.6048335121379258
Random Forest,0.25946504716371627,0.3509262495630898,0.2058220582205822,0.598109861894589
