draw_date,draw_id,game,game_name,letter,numbers,raw_text,source,url
2025-10-16,2134,kapruka,Kapruka,M,12;36;62;66;01,2134 | 2025-Oct-16 Thursday,dlb,https://www.dlb.lk/result/12/
2025-10-15,2133,kapruka,Kapruka,M,47;58;69;70;37,2133 | 2025-Oct-15 Wednesday,dlb,https://www.dlb.lk/result/12/
2025-10-14,2132,kapruka,Kapruka,D,06;09;32;71;16,2132 | 2025-Oct-14 Tuesday,dlb,https://www.dlb.lk/result/12/
2025-10-13,2131,kapruka,Kapruka,L,34;38;46;52;25,2131 | 2025-Oct-13 Monday,dlb,https://www.dlb.lk/result/12/
2025-10-12,2130,kapruka,Kapruka,K,27;49;65;70;02,2130 | 2025-Oct-12 Sunday,dlb,https://www.dlb.lk/result/12/
2025-10-11,2129,kapruka,Kapruka,F,21;34;45;64;15,2129 | 2025-Oct-11 Saturday,dlb,https://www.dlb.lk/result/12/
2025-10-10,2128,kapruka,Kapruka,B,01;19;48;69;07,2128 | 2025-Oct-10 Friday,dlb,https://www.dlb.lk/result/12/
2025-10-09,2127,kapruka,Kapruka,X,09;10;37;41;12,2127 | 2025-Oct-09 Thursday,dlb,https://www.dlb.lk/result/12/
2025-10-08,2126,kapruka,Kapruka,K,07;08;10;58;37,2126 | 2025-Oct-08 Wednesday,dlb,https://www.dlb.lk/result/12/
2025-10-07,2125,kapruka,Kapruka,F,03;14;22;46;23,2125 | 2025-Oct-07 Tuesday,dlb,https://www.dlb.lk/result/12/
2025-10-06,2124,kapruka,Kapruka,A,60;62;64;67;13,2124 | 2025-Oct-06 Monday,dlb,https://www.dlb.lk/result/12/
2025-10-05,2123,kapruka,Kapruka,M,09;23;28;53;24,2123 | 2025-Oct-05 Sunday,dlb,https://www.dlb.lk/result/12/
2025-10-04,2122,kapruka,Kapruka,F,07;24;47;73;29,2122 | 2025-Oct-04 Saturday,dlb,https://www.dlb.lk/result/12/
2025-10-03,2121,kapruka,Kapruka,W,06;11;30;34;24,2121 | 2025-Oct-03 Friday,dlb,https://www.dlb.lk/result/12/
2025-10-02,2120,kapruka,Kapruka,K,03;11;18;27;40,2120 | 2025-Oct-02 Thursday,dlb,https://www.dlb.lk/result/12/
2025-10-01,2119,kapruka,Kapruka,T,15;22;35;37;19,2119 | 2025-Oct-01 Wednesday,dlb,https://www.dlb.lk/result/12/
2025-09-30,2118,kapruka,Kapruka,Q,01;34;47;48;24,2118 | 2025-Sep-30 Tuesday,dlb,https://www.dlb.lk/result/12/
2025-09-29,2117,kapruka,Kapruka,Z,10;17;31;63;13,2117 | 2025-Sep-29 Monday,dlb,https://www.dlb.lk/result/12/
2025-09-28,2116,kapruka,Kapruka,O,10;16;57;71;37,2116 | 2025-Sep-28 Sunday,dlb,https://www.dlb.lk/result/12/
2025-09-27,2115,kapruka,Kapruka,O,13;23;63;67;38,2115 | 2025-Sep-27 Saturday,dlb,https://www.dlb.lk/result/12/
2025-09-26,2114,kapruka,Kapruka,Y,01;25;56;68;12,2114 | 2025-Sep-26 Friday,dlb,https://www.dlb.lk/result/12/
2025-09-25,2113,kapruka,Kapruka,Z,38;56;57;70;25,2113 | 2025-Sep-25 Thursday,dlb,https://www.dlb.lk/result/12/
2025-09-24,2112,kapruka,Kapruka,U,11;62;65;68;20,2112 | 2025-Sep-24 Wednesday,dlb,https://www.dlb.lk/result/12/
2025-09-23,2111,kapruka,Kapruka,B,05;23;37;61;36,2111 | 2025-Sep-23 Tuesday,dlb,https://www.dlb.lk/result/12/
2025-09-22,2110,kapruka,Kapruka,B,08;29;32;59;17,2110 | 2025-Sep-22 Monday,dlb,https://www.dlb.lk/result/12/
2025-09-21,2109,kapruka,Kapruka,V,18;26;31;45;14,2109 | 2025-Sep-21 Sunday,dlb,https://www.dlb.lk/result/12/
2025-09-20,2108,kapruka,Kapruka,D,21;41;51;69;05,2108 | 2025-Sep-20 Saturday,dlb,https://www.dlb.lk/result/12/
2025-09-19,2107,kapruka,Kapruka,Z,39;43;68;73;12,2107 | 2025-Sep-19 Friday,dlb,https://www.dlb.lk/result/12/
2025-09-18,2106,kapruka,Kapruka,T,08;22;32;34;12,2106 | 2025-Sep-18 Thursday,dlb,https://www.dlb.lk/result/12/
2025-09-17,2105,kapruka,Kapruka,J,11;63;69;71;24,2105 | 2025-Sep-17 Wednesday,dlb,https://www.dlb.lk/result/12/
2025-09-16,2104,kapruka,Kapruka,W,05;08;19;50;09,2104 | 2025-Sep-16 Tuesday,dlb,https://www.dlb.lk/result/12/
2025-09-15,2103,kapruka,Kapruka,Y,29;38;40;65;01,2103 | 2025-Sep-15 Monday,dlb,https://www.dlb.lk/result/12/
2025-09-14,2102,kapruka,Kapruka,I,09;30;43;59;12,2102 | 2025-Sep-14 Sunday,dlb,https://www.dlb.lk/result/12/
2025-09-13,2101,kapruka,Kapruka,S,04;07;54;62;20,2101 | 2025-Sep-13 Saturday,dlb,https://www.dlb.lk/result/12/
2025-09-12,2100,kapruka,Kapruka,J,24;37;39;46;02,2100 | 2025-Sep-12 Friday,dlb,https://www.dlb.lk/result/12/
